STATEFP,FER,EA0,EA1,EA2,EA3,EA4,EA5,EA6,EA7,EA8,EA9,EA10,EA11,EA12,EA13,EA14,EA15,EA16,EA17,EA18,EA19,EA20,EA21,EA22,EA23,EA24
32,2,0,7565,197,239,225,378,776,718,1536,7331,2107,8589,26033,25878,32374,17877,148527,21956,45904,123036,51728,105432,35849,5971,3921
33,2,0,1152,127,41,0,1,34,58,13,440,357,2777,8059,8946,9882,2838,49096,7339,18024,45740,26936,66379,29961,4091,2944
34,2,0,15698,610,391,485,1389,1767,1711,2992,11276,4455,23927,57067,65868,78777,26472,348523,30434,86367,271752,133209,504001,218760,38503,22731
35,2,0,2813,35,15,0,77,274,49,581,4454,1965,6868,18891,20556,22800,6936,82371,16561,27623,88601,39290,65457,29366,4674,3619
36,2,0,53763,966,798,1150,2792,4587,3967,8275,27054,11672,52090,124378,151798,178982,77690,708561,122429,205509,617668,371240,1024829,543095,99158,50128
37,2,0,16979,643,455,624,1609,2073,1467,3131,13733,7463,31498,84357,89190,94613,27204,378155,65833,147462,422132,232960,481835,187602,31814,21801
38,2,0,920,5,32,51,0,50,81,48,41,233,2006,4185,5050,6154,1751,24208,4009,9070,28430,20626,39212,10098,1869,1373
39,2,0,14311,467,405,614,473,764,546,1811,3296,3553,43947,75338,95993,112647,33122,514528,63116,163929,419871,231488,472054,199333,30937,19781
40,2,0,5749,79,59,229,464,370,512,1229,5276,2188,15962,32891,35900,39946,13196,180465,30070,66869,153395,70382,141687,45971,8582,5428
41,2,0,8141,202,436,405,930,1402,709,1815,6201,2188,12063,29263,31894,35709,14038,136523,33689,70912,163776,77058,199126,79767,14915,11167
42,2,0,16963,557,361,319,724,1855,1472,2196,4902,4595,46051,86271,94339,105606,30646,570480,67286,147751,388130,235794,581051,260926,43599,31850
44,2,0,1644,9,25,15,196,101,339,75,648,305,2447,6779,7760,8485,3063,44636,6849,15939,43287,17719,51480,20051,3519,2920
45,2,0,8924,354,137,217,204,692,482,540,3346,2274,13113,36243,44407,49188,16028,217145,34005,74554,200088,107224,199945,82975,12902,8443
46,2,0,1195,13,0,91,119,75,24,19,153,173,2854,6932,7320,7835,1340,28951,4892,10693,28932,20870,39540,9971,2340,1611
47,2,0,9815,141,77,128,279,810,625,1429,5468,3058,19777,46574,59003,67703,20233,317943,54421,97958,262957,121256,281285,107725,20053,13311
48,2,0,71600,1425,1118,2310,5435,11367,8557,16137,85737,29675,118544,302011,275083,306784,108907,1251712,184741,401123,1165730,488752,1255599,455396,81589,48483
49,2,0,3775,70,98,149,232,248,261,979,3127,1030,8273,26303,29323,32681,12022,133176,18586,58875,137746,77495,145777,37626,6319,4164
50,2,0,365,96,0,0,103,33,0,31,111,9,935,2731,4649,5435,1352,24723,2814,8569,23149,8795,31675,12654,2323,1935
51,2,0,15557,278,226,687,939,1922,1474,2095,7678,3773,21589,55127,63746,74432,22695,310974,46681,115430,301181,158189,436070,225489,36531,23096
53,2,0,12851,248,202,682,1049,2032,1419,2331,10820,3656,20419,54088,54966,64462,25560,257095,49985,115630,256684,169875,369861,156378,27688,19179
54,2,0,1743,43,0,2,52,76,89,97,438,881,5370,12253,15837,18520,4130,88371,16481,23517,63583,33716,53567,23852,4101,2694
55,2,0,7083,145,272,178,233,531,199,743,3352,957,16909,37854,42700,49671,15192,220802,26030,80640,208197,128624,274099,87900,16341,11559
56,2,0,580,0,18,0,53,18,0,31,244,212,1922,3086,4380,4868,1092,21757,4967,9015,21741,14433,20922,8557,945,1190
01,1,0,725,6,35,0,35,31,0,47,362,67,593,1513,1752,1633,869,12523,1837,4245,11489,6512,11051,4091,882,394
02,1,0,161,0,0,0,0,0,0,0,0,17,45,109,233,400,10,2064,622,578,2740,595,2387,533,154,75
04,1,0,853,18,0,82,0,97,47,50,425,190,1109,2292,2276,3101,3004,19459,3436,6737,15630,7464,15901,5892,1537,982
05,1,0,359,0,0,0,0,0,27,0,124,104,275,807,812,1505,673,10469,1933,3027,6674,2885,6255,2781,373,241
06,1,0,6489,89,88,175,326,1077,469,1279,6152,983,3934,8235,5158,11213,11693,93277,8403,28966,75443,37526,98505,43092,10209,6538
08,1,0,765,16,0,0,0,194,0,27,444,93,572,1156,1213,1196,1184,10688,2098,4367,8796,6353,16582,8568,1786,1606
09,1,0,343,22,0,0,77,0,23,54,443,67,259,325,595,590,455,5158,637,1682,4389,2178,8520,5630,1152,587
10,1,0,14,0,0,0,0,0,29,70,218,26,51,337,338,234,213,2453,210,452,1302,867,1557,888,208,66
11,1,0,35,0,0,0,0,0,55,34,38,13,0,221,71,342,30,1189,271,408,664,232,1685,1683,656,427
12,1,0,2125,219,25,158,268,254,236,166,1434,833,1304,2976,4136,7306,4731,51063,8600,12753,30524,27440,46478,17336,4295,2285
13,1,0,1695,14,0,30,45,179,161,195,870,358,819,1822,3201,4046,1718,31126,5205,7603,22291,10427,27741,11496,2069,1657
15,1,0,227,0,0,0,0,0,0,26,0,9,86,40,385,276,280,4404,332,1068,3411,2450,3828,1363,388,306
16,1,0,155,0,0,0,0,0,0,26,54,170,196,253,501,646,297,5374,986,1892,4364,2284,5270,1314,122,98
17,1,0,1501,62,37,17,58,72,72,136,1004,508,1520,1468,2682,4052,1924,25707,4005,9596,23880,12549,36994,19430,3316,2133
18,1,0,1035,0,55,69,0,188,76,0,212,196,2315,1071,1942,2410,1086,18468,3819,5700,13762,6780,18047,5532,793,485
19,1,0,598,2,0,0,0,0,48,90,293,82,350,387,597,833,346,6852,1137,3418,5469,5823,10348,2353,932,820
20,1,0,400,8,0,65,70,0,29,109,429,23,495,506,599,730,601,7031,1248,3161,5664,4193,9298,3596,898,340
21,1,0,438,12,14,14,21,30,4,12,389,0,1241,484,1465,1409,456,11800,1935,3981,9866,5300,9376,4583,1148,627
22,1,0,461,29,0,10,0,0,28,100,223,580,873,1050,1681,2711,1004,14479,3004,3536,10382,4217,11097,3290,572,451
23,1,0,47,0,22,0,0,0,0,0,0,0,94,70,201,113,124,2600,469,1073,2105,1100,3528,1741,193,356
24,1,0,1053,0,0,17,60,118,168,47,631,242,470,1078,850,1181,1300,12828,1397,3985,8932,5347,17213,11974,2510,1942
25,1,0,504,0,0,0,0,145,111,44,420,30,363,598,875,1270,1235,11798,2027,4340,9003,4922,18609,12907,2495,2330
26,1,0,1263,26,33,0,130,101,26,77,369,184,1281,1064,1809,3987,1811,22976,3639,8543,20587,11211,24690,10140,2149,1569
27,1,0,1544,28,0,88,0,0,0,26,444,197,369,453,308,1719,1512,10036,1698,4634,9284,8974,20363,8723,1826,1356
28,1,0,285,0,0,20,0,0,4,0,97,75,234,676,958,1667,777,7004,1399,2593,8960,4442,5279,2767,624,410
29,1,0,549,26,46,0,0,0,19,0,35,140,1008,962,1175,2155,890,15489,2134,5689,14428,6820,16992,6840,994,1116
30,1,0,130,0,0,0,0,0,0,0,0,0,363,121,286,377,139,1623,569,756,2061,1527,2852,730,158,200
31,1,0,751,0,22,0,85,0,49,108,288,67,165,635,595,465,253,4536,679,1714,3952,2537,6987,2696,763,404
32,1,0,492,12,0,0,9,21,81,45,378,107,317,536,705,1583,1382,9961,1349,2831,6203,2264,5643,2449,467,300
33,1,0,0,0,0,0,0,35,0,0,0,19,168,101,267,129,179,2937,384,778,1475,824,3529,2277,334,207
34,1,0,1078,31,0,0,107,58,148,283,631,237,599,1016,819,987,1423,18471,1439,4514,12990,6275,27133,16824,3107,1768
35,1,0,94,0,0,0,0,0,0,32,149,15,268,773,922,1537,564,5685,921,1919,6130,1833,3451,1568,431,350
36,1,0,3305,164,38,17,242,162,103,244,1423,574,2472,2861,3234,4713,5887,39133,8536,10167,23518,20361,49771,37312,6890,3451
37,1,0,1126,100,24,138,4,25,230,0,1056,232,983,2560,2167,3040,1429,25077,3200,8363,22685,10795,25720,11554,2051,1709
38,1,0,3,0,0,0,0,0,0,0,0,0,266,40,117,256,28,2239,740,825,1500,1721,3899,722,53,174
39,1,0,1348,10,0,76,27,52,67,84,402,85,2995,1421,2692,4994,2294,33772,3718,10085,21988,13491,29303,14303,2786,1598
40,1,0,377,0,0,5,84,0,0,75,240,116,428,919,834,1810,642,13249,1966,5013,9663,4772,10013,3805,384,516
41,1,0,534,8,11,0,0,48,0,0,521,18,557,996,574,1218,1027,7759,1643,3070,7122,4347,9313,4580,867,792
42,1,0,754,34,19,34,0,14,0,166,78,182,3399,2529,2223,3548,2305,30844,4216,7566,16411,12504,31169,19375,3134,2714
44,1,0,56,0,0,0,0,105,0,30,62,0,85,145,118,477,138,1940,402,646,1431,860,2894,1394,362,365
45,1,0,341,39,0,57,0,217,47,29,227,59,374,917,1622,2702,1119,12731,2371,4290,10260,6498,12362,5808,866,375
46,1,0,100,0,0,0,0,0,0,0,0,16,109,151,186,299,81,1965,375,1184,1956,1861,3137,1104,154,313
47,1,0,684,0,0,39,0,63,80,0,458,147,579,801,1126,1935,1160,18741,2904,5926,12710,6539,16323,6433,1275,1226
48,1,0,5657,128,31,111,175,500,584,1038,4478,1322,4456,10824,8910,11025,8313,88928,11371,25758,66626,27658,77795,30514,4633,4043
49,1,0,362,28,0,0,0,0,66,47,173,57,313,277,311,1045,741,8806,1484,4168,8195,5907,15647,3111,551,271
50,1,0,0,0,0,142,0,0,0,0,1,0,48,7,52,16,26,1174,127,217,575,736,1505,592,173,150
51,1,0,1046,62,0,16,58,44,90,103,559,154,581,1140,1255,1916,1048,16649,2467,6085,14101,8020,24498,14282,2678,1501
53,1,0,1048,62,13,99,33,123,114,95,711,162,679,1494,1288,2325,1709,17518,3013,7798,13433,10233,22482,9378,2055,1500
54,1,0,42,0,0,0,0,0,0,0,0,28,26,388,563,554,501,5302,876,1362,3625,2052,3635,1430,309,156
55,1,0,252,53,0,0,0,0,16,0,132,40,1346,284,397,1062,832,14713,1628,4341,9105,7911,18354,5377,1157,1024
56,1,0,59,0,0,0,0,0,0,0,0,0,43,207,79,153,156,1959,120,687,1274,1148,1303,532,86,71
