REGION,STATE,COUNTY,PRETBRPCT
4,Florida,Nassau County,11.4
4,Florida,Okaloosa County,11.6
4,Florida,Okeechobee County,10
4,Florida,Orange County,10.4
4,Florida,Osceola County,10.2
4,Florida,Palm Beach County,9.9
4,Florida,Pasco County,10
4,Florida,Pinellas County,9.9
4,Florida,Polk County,10.4
4,Florida,Putnam County,11.9
4,Florida,St. Johns County,9
4,Florida,St. Lucie County,10.1
4,Florida,Santa Rosa County,11.7
4,Florida,Sarasota County,9.4
4,Florida,Seminole County,9.7
4,Florida,Sumter County,10.4
4,Florida,Suwannee County,11.7
4,Florida,Taylor County,12.8
4,Florida,Union County,12.4
4,Florida,Volusia County,10.2
4,Florida,Wakulla County,11.1
4,Florida,Walton County,11
4,Florida,Washington County,10.4
4,Georgia,Appling County,12.7
4,Georgia,Atkinson County,11.8
4,Georgia,Bacon County,12.6
4,Georgia,Baker County,15
4,Georgia,Baldwin County,13.2
4,Georgia,Banks County,10.1
4,Georgia,Barrow County,10.8
4,Georgia,Bartow County,11.3
4,Georgia,Ben Hill County,12.3
4,Georgia,Berrien County,12.2
4,Georgia,Bibb County,14.4
4,Georgia,Bleckley County,11.3
4,Georgia,Brantley County,12.8
4,Georgia,Brooks County,12.6
4,Georgia,Bryan County,10.5
4,Georgia,Bulloch County,12.4
4,Georgia,Burke County,12.5
4,Georgia,Butts County,12.9
4,Georgia,Calhoun County,15.6
4,Georgia,Camden County,11.6
4,Georgia,Candler County,12.6
4,Georgia,Carroll County,9.6
4,Georgia,Catoosa County,10.7
4,Georgia,Charlton County,11.8
4,Georgia,Chatham County,12.3
4,Georgia,Chattahoochee County,11.1
4,Georgia,Chattooga County,10.9
4,Georgia,Cherokee County,10.8
4,Georgia,Clarke County,11.3
4,Georgia,Clay County,12.9
4,Georgia,Clayton County,12.3
4,Georgia,Clinch County,12.4
4,Georgia,Cobb County,10.5
4,Georgia,Coffee County,12.1
4,Georgia,Colquitt County,13
4,Georgia,Columbia County,9.8
4,Georgia,Cook County,12.5
4,Georgia,Coweta County,11.9
4,Georgia,Crawford County,12.4
4,Georgia,Crisp County,14.2
4,Georgia,Dade County,10.6
4,Georgia,Dawson County,10
4,Georgia,Decatur County,12.7
4,Georgia,DeKalb County,10.8
4,Georgia,Dodge County,11.1
4,Georgia,Dooly County,13.1
4,Georgia,Dougherty County,15.4
4,Georgia,Douglas County,11.5
4,Georgia,Early County,12.6
4,Georgia,Echols County,12.1
4,Georgia,Effingham County,11.7
4,Georgia,Elbert County,11.5
4,Georgia,Emanuel County,12.3
4,Georgia,Evans County,11.6
4,Georgia,Fannin County,10
4,Georgia,Fayette County,12.1
4,Georgia,Floyd County,11.2
4,Georgia,Forsyth County,10.3
4,Georgia,Franklin County,11.3
4,Georgia,Fulton County,11.5
4,Georgia,Gilmer County,10.6
4,Georgia,Glascock County,11.7
4,Georgia,Glynn County,12.3
4,Georgia,Gordon County,10.4
4,Georgia,Grady County,11.8
4,Georgia,Greene County,14.8
4,Georgia,Gwinnett County,10.7
4,Georgia,Habersham County,9.8
4,Georgia,Hall County,10.1
4,Georgia,Hancock County,14.3
4,Georgia,Haralson County,9.9
4,Georgia,Harris County,13.9
4,Georgia,Hart County,11.6
4,Georgia,Heard County,11.2
4,Georgia,Henry County,12.1
4,Georgia,Houston County,10.9
4,Georgia,Irwin County,12.4
4,Georgia,Jackson County,10.4
4,Georgia,Jasper County,12.8
4,Georgia,Jeff Davis County,11.7
4,Georgia,Jefferson County,12.2
4,Georgia,Jenkins County,13.3
4,Georgia,Johnson County,11.5
4,Georgia,Jones County,13.3
4,Georgia,Lamar County,14.4
4,Georgia,Lanier County,12.1
4,Georgia,Laurens County,11.6
4,Georgia,Lee County,14.9
4,Georgia,Liberty County,10.3
4,Georgia,Lincoln County,11.2
4,Georgia,Long County,11.8
4,Georgia,Lowndes County,12.3
4,Georgia,Lumpkin County,8.3
4,Georgia,McDuffie County,12.5
4,Georgia,McIntosh County,11.5
4,Georgia,Macon County,11.6
4,Georgia,Madison County,11.1
4,Georgia,Marion County,10.4
4,Georgia,Meriwether County,13.4
4,Georgia,Miller County,14.1
4,Georgia,Mitchell County,14
4,Georgia,Monroe County,13.4
4,Georgia,Montgomery County,12
4,Georgia,Morgan County,10.9
4,Georgia,Murray County,10.6
4,Georgia,Muscogee County,14
4,Georgia,Newton County,13.2
4,Georgia,Oconee County,9.2
4,Georgia,Oglethorpe County,11.3
4,Georgia,Paulding County,11.3
4,Georgia,Peach County,12.3
4,Georgia,Pickens County,11.3
4,Georgia,Pierce County,14
4,Georgia,Pike County,14.2
4,Georgia,Polk County,11.4
4,Georgia,Pulaski County,10.6
4,Georgia,Putnam County,14
4,Georgia,Quitman County,12.4
4,Georgia,Rabun County,10.7
4,Georgia,Randolph County,13.5
4,Georgia,Richmond County,12
4,Georgia,Rockdale County,11.7
4,Georgia,Schley County,12.1
4,Georgia,Screven County,12.8
4,Georgia,Seminole County,12.3
4,Georgia,Spalding County,13
4,Georgia,Stephens County,10.8
4,Georgia,Stewart County,13.2
4,Georgia,Sumter County,13.4
4,Georgia,Talbot County,13.7
4,Georgia,Taliaferro County,13.7
4,Georgia,Tattnall County,11.8
4,Georgia,Taylor County,12.7
4,Georgia,Telfair County,11.6
4,Georgia,Terrell County,14.9
4,Georgia,Thomas County,11.9
4,Georgia,Tift County,12.9
4,Georgia,Toombs County,12
4,Georgia,Towns County,8.3
4,Georgia,Treutlen County,11.7
4,Georgia,Troup County,13.2
4,Georgia,Turner County,13.5
