COUNTY,STABRV,FIPS,BIRTHS,TOTPOP,BIRTHRATE,RPRAFEM,FERTRATE
Anoka County,MN,27003,4190,367018,11.42,69437,60.34
Dakota County,MN,27037,5033,442038,11.39,84839,59.32
Hennepin County,MN,27053,14719,1267416,11.61,266610,55.21
Olmsted County,MN,27109,1987,163436,12.16,33197,59.85
Ramsey County,MN,27123,6641,543257,12.22,116484,57.01
St. Louis County,MN,27137,1842,199182,9.25,38014,48.46
Scott County,MN,27139,1726,153268,11.26,30196,57.16
Stearns County,MN,27145,1965,158947,12.36,32335,60.77
Washington County,MN,27163,2796,272256,10.27,50158,55.74
Wright County,MN,27171,1863,144845,12.86,27328,68.17
Unidentified Counties,MN,27999,21663,1995727,10.85,351414,61.65
DeSoto County,MS,28033,2258,188633,11.97,39558,57.08
Harrison County,MS,28047,2432,209396,11.61,41534,58.55
Hinds County,MS,28049,2753,222679,12.36,48018,57.33
Jackson County,MS,28059,1588,143987,11.03,27824,57.07
Rankin County,MS,28121,1720,158096,10.88,32253,53.33
Unidentified Counties,MS,28999,24405,2027174,12.04,389691,62.63
Boone County,MO,29019,1924,185840,10.35,46685,41.21
Clay County,MO,29047,2960,255518,11.58,51803,57.14
Franklin County,MO,29071,1117,105231,10.61,18131,61.61
Greene County,MO,29077,3268,300865,10.86,64893,50.36
Jackson County,MO,29095,8415,716862,11.74,148193,56.78
Jasper County,MO,29097,1567,123155,12.72,24446,64.1
Jefferson County,MO,29099,2414,227771,10.6,42037,57.43
St. Charles County,MO,29183,4221,409981,10.3,78848,53.53
St. Louis County,MO,29189,10498,997187,10.53,190805,55.02
St. Louis city,MO,29510,3716,293310,12.67,67775,54.83
Unidentified Counties,MO,29999,29353,2552467,11.5,455219,64.48
Missoula County,MT,30063,1095,119533,9.16,27156,40.32
Yellowstone County,MT,30111,1838,167146,11,32572,56.43
Unidentified Counties,MT,30999,8298,817592,10.15,145367,57.08
Douglas County,NE,31055,7899,585008,13.5,122599,64.43
Lancaster County,NE,31109,3764,324514,11.6,70935,53.06
Sarpy County,NE,31153,2383,193418,12.32,39502,60.33
Unidentified Counties,NE,31999,10563,860752,12.27,148990,70.9
Clark County,NV,32003,25193,2292476,10.99,461073,54.64
Washoe County,NV,32031,5086,493392,10.31,96605,52.65
Unidentified Counties,NV,32999,3407,358123,9.51,57272,59.49
Hillsborough County,NH,33011,4264,424079,10.05,80470,52.99
Merrimack County,NH,33013,1345,155238,8.66,28327,47.48
Rockingham County,NH,33015,2917,316947,9.2,54557,53.47
Strafford County,NH,33017,1231,132416,9.3,29281,42.04
Unidentified Counties,NH,33999,2868,360312,7.96,60442,47.45
Atlantic County,NJ,34001,2742,274966,9.97,49198,55.73
Bergen County,NJ,34003,9127,953819,9.57,175375,52.04
Burlington County,NJ,34005,4655,464269,10.03,84177,55.3
Camden County,NJ,34007,6323,523771,12.07,103010,61.38
Cumberland County,NJ,34011,1785,153627,11.62,27430,65.07
Essex County,NJ,34013,9723,854917,11.37,173085,56.17
Gloucester County,NJ,34015,3014,304477,9.9,57885,52.07
Hudson County,NJ,34017,9118,702463,12.98,159342,57.22
Hunterdon County,NJ,34019,1053,129924,8.1,21306,49.42
Mercer County,NJ,34021,4114,385898,10.66,76332,53.9
Middlesex County,NJ,34023,8649,860807,10.05,168691,51.27
Monmouth County,NJ,34025,6176,645354,9.57,112741,54.78
Morris County,NJ,34027,4881,510981,9.55,91835,53.15
Ocean County,NJ,34029,10234,648998,15.77,104375,98.05
Passaic County,NJ,34031,6253,518117,12.07,101837,61.4
Somerset County,NJ,34035,3168,345647,9.17,63182,50.14
Sussex County,NJ,34037,1375,145543,9.45,24830,55.38
