FIPS,COUNTY,STATE,STABRV,PROVIDERS,PRESCRIBERS,TOTPOP,FEMPOP,RPRAFEM,FERTRATE,BIRTHS_EST,RATIO,REQPROV,COVERAGE,GAP
08061,Kiowa County,Colorado,CO,0,0,1414,723,226,52.6,12,0.00,0,0,0
08063,Kit Carson County,Colorado,CO,0,0,7071,3434,1213,52.6,64,0.00,0,0,0
08065,Lake County,Colorado,CO,0,0,7417,3536,1768,52.6,93,0.00,0,0,0
08067,La Plata County,Colorado,CO,0,0,55673,27671,10648,52.6,560,0.00,3,0.00,3
08069,Larimer County,Colorado,CO,3,1,362533,177185,79633,39.05,3110,0.00,16,0.19,13
08071,Las Animas County,Colorado,CO,0,0,14531,6884,2087,52.6,110,0.00,1,0.00,1
08073,Lincoln County,Colorado,CO,0,0,5630,2360,828,52.6,44,0.00,0,0,0
08075,Logan County,Colorado,CO,0,0,21765,9648,3653,52.6,192,0.00,1,0.00,1
08077,Mesa County,Colorado,CO,1,1,157335,77868,29462,51.08,1505,0.00,8,0.13,7
08079,Mineral County,Colorado,CO,0,0,794,416,138,52.6,7,0.00,0,0,0
